Ybrest,YLeHavre,ThetaS,PhiS,RS,ThetaL,PhiL,RL,cos(ThetaS),sin(ThetaS),cos(ThetaL),sin(ThetaL),delta,VRS,VRL 
85,85,317.0080146,-0.0000703,0.98610702,327.9054165,-2.1649447,0.002638876,0.731449093,-0.681896051,0.847172154,-0.531318494,0.981967286,0.276076,-0.0363008 
87,87,318.0216967,-0.0001035,0.986267924,340.5193114,-3.1639217,0.002617404,0.743398158,-0.668849145,0.942753946,-0.333489125,0.923895463,0.281119,-0.0379304 
87,88,319.0350097,-0.0001316,0.986431749,353.3502868,-4.0206677,0.002595162,0.755110314,-0.655597753,0.993272665,-0.115799016,0.825948009,0.2862097,-0.0390281 
85,86,320.0479304,-0.000153,0.986598551,6.4058173,-4.6842582,0.00257237,0.766581895,-0.642146556,0.993756596,0.11156983,0.690151633,0.2914436,-0.039858 
79,82,321.0604365,-0.0001666,0.98676844,19.6914313,-5.1100475,0.00254917,0.777809346,-0.628500295,0.941520948,0.336954456,0.520547818,0.2969147,-0.0404114 
71,76,322.072508,-0.0001715,0.986941579,33.2112025,-5.2628598,0.0025258,0.788789244,-0.614663752,0.836657238,0.547726818,0.323278409,0.3027111,-0.0403668 
62,67,323.0841276,-0.0001672,0.987118178,46.9665807,-5.1201041,0.002502768,0.799518296,-0.600641735,0.682424826,0.730955783,0.106568584,0.3089091,-0.0391242 
54,58,324.0952817,-0.0001539,0.987298487,60.9533499,-4.6749954,0.002480981,0.80999335,-0.586439062,0.485521573,0.874224686,-0.119410259,0.3155666,-0.0359204 
50,51,325.1059611,-0.0001322,0.987482783,75.1569963,-3.939907,0.002461793,0.820211398,-0.572060541,0.256171341,0.96663139,-0.342857022,0.3227149,-0.0300193 
51,51,326.1161615,-0.0001033,0.987671348,89.5474086,-2.9493211,0.002446916,0.830169576,-0.557510964,0.007899128,0.999968801,-0.550935955,0.330349,-0.0209514 
60,60,327.1258839,-0.0000689,0.987864452,104.0744754,-1.7610725,0.002438199,0.839865163,-0.542795088,-0.243182921,0.969980447,-0.730741486,0.3384191,-0.0087446 
74,74,328.1351345,-0.0000314,0.98806232,118.6665414,-0.4540862,0.002437293,0.849295573,-0.527917635,-0.479711195,0.877426447,-0.870625489,0.3468272,0.005929 
88,88,329.1439239,0.0000071,0.988265109,133.2334617,0.8786884,0.002445275,0.858458343,-0.512883294,-0.684972719,0.728568716,-0.961691269,0.3554324,0.0217696 
99,99,330.1522654,0.0000439,0.988472885,147.6748885,2.1416638,0.002462334,0.86735111,-0.497696746,-0.845027557,0.534722758,-0.999065367,0.3640664,0.0370575 
105,105,331.1601736,0.0000768,0.988685613,161.8926002,3.2495222,0.002487626,0.875971601,-0.48236268,-0.9504756,0.310799187,-0.982507561,0.3725571,0.0499995 
106,107,332.1676621,0.0001039,0.988903167,175.8039412,4.1376417,0.002519342,0.884317604,-0.466885826,-0.997319513,0.073169595,-0.916109049,0.3807509,0.0590941 
101,104,333.1747423,0.0001238,0.989125337,189.3528191,4.7670152,0.002554955,0.892386971,-0.451270975,-0.98670632,-0.162513502,-0.807186238,0.3885286,0.0633925 
92,97,334.1814226,0.0001356,0.989351859,202.5156773,5.1231924,0.002591578,0.900177606,-0.435522993,-0.923774788,-0.38293621,-0.664783853,0.3958111,0.0625957 
80,86,335.1877076,0.000139,0.989582433,215.301826,5.2111049,0.002626328,0.907687467,-0.41964683,-0.816119174,-0.577883634,-0.49827411,0.4025546,0.0570022 
65,73,336.1935991,0.0001341,0.989816742,227.7493098,5.0484916,0.002656636,0.914914579,-0.40364751,-0.672375724,-0.740210028,-0.316382418,0.4087427,0.0473699 
51,58,337.1990954,0.0001212,0.990054464,239.9183127,4.6601013,0.002680464,0.921857033,-0.387530141,-0.501234195,-0.865311668,-0.126731915,0.4143761,0.034752 
38,44,338.2041926,0.0001012,0.990295281,251.8839243,4.0737658,0.00269643,0.928512999,-0.371299893,-0.310943107,-0.950428527,0.064179293,0.4194647,0.0203491 
32,34,339.2088848,0.0000751,0.990538884,263.7294004,3.3185124,0.00270386,0.934880731,-0.354961996,-0.109224262,-0.994017133,0.250726648,0.424022,0.0053886 
30,30,340.2131637,0.0000439,0.990784968,275.5403317,2.4243808,0.002702771,0.940958569,-0.338521744,0.096546409,-0.995328484,0.427786505,0.4280638,-0.0089682 
36,36,341.2170197,0.000009,0.991033243,287.3996454,1.4234158,0.002693815,0.946744947,-0.321984479,0.299034887,-0.954242179,0.590360939,0.4316077,-0.0217024 
48,48,342.220441,-0.0000279,0.991283425,299.3831621,0.3512646,0.002678175,0.952238393,-0.305355601,0.490647703,-0.871358039,0.733287638,0.4346758,-0.0320041 
60,60,343.2234139,-0.0000654,0.991535249,311.5554706,-0.7512211,0.002657424,0.95743753,-0.288640565,0.663344835,-0.748313858,0.851104975,0.437299,-0.0393325 
72,72,344.225923,-0.0001017,0.99178847,323.9660977,-1.8370204,0.002633362,0.962341086,-0.271844872,0.808669056,-0.58826385,0.938131969,0.4395213,-0.0434634 
82,82,345.2279504,-0.000135,0.992042874,336.6462833,-2.8532611,0.002607817,0.966947887,-0.254974085,0.918075141,-0.396406403,0.988804177,0.4414042,-0.0445107 
91,91,346.2294769,-0.0001636,0.992298285,349.6069995,-3.7433237,0.00258246,0.971256869,-0.238033808,0.983593516,-0.180398987,0.998263017,0.4430287,-0.0429058 
96,95,347.2304814,-0.0001861,0.992554584,2.8390214,-4.4508505,0.002558638,0.97526708,-0.221029686,0.998772636,0.049529997,0.963122473,0.4444947,-0.0393207 
98,97,348.2309426,-0.000201,0.992811711,16.3156661,-4.9251932,0.00253727,0.978977684,-0.203967384,0.959728515,0.280929133,0.882252418,0.445917,-0.0345372 
96,97,349.2308391,-0.0002075,0.993069676,29.9981696,-5.1272559,0.002518832,0.982387965,-0.186852577,0.866041377,0.499972333,0.757367507,0.4474167,-0.0292833 
89,93,350.230151,-0.0002051,0.993328558,43.8427264,-5.0344551,0.002503432,0.985497332,-0.16969092,0.721243885,0.69268121,0.593242213,0.4491122,-0.0240764 
79,84,351.228861,-0.0001938,0.993588502,57.8074131,-4.6438085,0.002490969,0.988305318,-0.152488027,0.532766789,0.846262104,0.397491412,0.4511086,-0.0191191 
66,73,352.2269548,-0.0001743,0.993849706,71.8570124,-3.9728411,0.002481321,0.990811578,-0.13524946,0.31138949,0.950282371,0.180003135,0.4534891,-0.0142798 
54,60,353.2244228,-0.0001478,0.99411241,85.9643481,-3.058638,0.002474524,0.993015889,-0.117980698,0.070377187,0.997520452,-0.047802494,0.4563077,-0.009169 
48,50,354.22126,-0.0001157,0.994376874,100.1078655,-1.9555944,0.002470877,0.994918138,-0.100687133,-0.175501876,0.984479097,-0.273734377,0.4595839,-0.0032938 
48,48,355.2174665,-0.0000802,0.994643359,114.2664074,-0.7321539,0.002470945,0.996518322,-0.083374061,-0.410979931,0.911644391,-0.485556526,0.4632995,0.0037449 
57,57,356.2130476,-0.0000433,0.994912104,128.4130487,0.5336141,0.002475452,0.997816535,-0.066046676,-0.621326245,0.783551975,-0.671720604,0.4673973,0.012066 
72,72,357.2080128,-0.0000074,0.995183304,142.5102649,1.7599112,0.002485079,0.998812959,-0.048710087,-0.793462391,0.608619285,-0.822166417,0.4717836,0.021387 
86,86,358.2023757,0.0000254,0.995457091,156.5085073,2.8684948,0.002500218,0.999507862,-0.031369316,-0.917119271,0.398612899,-0.929172135,0.4763358,0.031009 
97,97,359.1961522,0.0000532,0.995733523,170.3493405,3.7924048,0.002520762,0.999901584,-0.014029331,-0.985848199,0.167640475,-0.988103059,0.4809144,0.0399214 
103,103,0.1893594,0.0000744,0.996012572,183.9727963,4.482427,0.002545977,0.999994539,0.003304939,-0.997597058,-0.069282828,-0.997820585,0.4853781,0.0469958 
103,103,1.182014,0.000088,0.996294134,197.3270283,4.9105808,0.002574494,0.999787208,0.020628573,-0.954620412,-0.297825233,-0.960560986,0.4895979,0.0512097 
99,101,2.1741315,0.0000935,0.996578037,210.3775055,5.069841,0.002604433,0.999280146,0.037936647,-0.862712273,-0.5056951,-0.881275623,0.4934672,0.0518333 
91,96,3.1657252,0.0000908,0.996864054,223.1133268,4.9706408,0.002633606,0.998473978,0.05522422,-0.73000333,-0.683443588,-0.766631968,0.4969066,0.0485382 
81,86,4.156806,0.0000802,0.997151919,235.5495324,4.635677,0.002659758,0.997369406,0.072486323,-0.565693565,-0.824615541,-0.623978804,0.4998621,0.0414206 
67,74,5.1473821,0.0000625,0.997441343,247.7257172,4.094704,0.002680802,0.995967212,0.089717966,-0.379040841,-0.925379944,-0.460535456,0.5023011,0.0309579 
54,60,6.1374593,0.0000385,0.997732022,259.7021286,3.3805202,0.002695019,0.994268257,0.106914135,-0.178765663,-0.98389168,-0.282932952,0.5042052,0.0179314 
41,47,7.1270415,0.0000095,0.998023644,271.554547,2.5266661,0.00270121,0.992273492,0.124069807,0.027128635,-0.999631951,-0.097105118,0.505565,0.0033372 
30,35,8.1161302,-0.0000233,0.998315893,283.3688517,1.5667982,0.002698788,0.989983951,0.141179943,0.231219029,-0.972901722,0.091548918,0.5063755,-0.0116994 
28,28,9.1047252,-0.0000585,0.99860845,295.2356179,0.5353998,0.002687838,0.98740076,0.158239499,0.426341695,-0.904562192,0.277832645,0.5066341,-0.0260049 
32,32,10.0928243,-0.0000944,0.998900998,307.2446332,-0.530649,0.002669114,0.984525135,0.175243426,0.605219425,-0.796058696,0.456349683,0.5063405,-0.0384374 
43,43,11.0804232,-0.0001294,0.999193217,319.4789841,-1.5902104,0.002644002,0.981358388,0.192186668,0.760167699,-0.649726919,0.621128096,0.5054999,-0.0479748 
57,57,12.0675152,-0.000162,0.999484797,332.0084208,-2.5964276,0.002614417,0.977901926,0.209064159,0.883016582,-0.46934179,0.76538107,0.5041278,-0.0538142 
71,71,13.0540911,-0.0001903,0.999775437,344.8821006,-3.496511,0.002582651,0.974157262,0.225870825,0.965391201,-0.260806113,0.881534357,0.5022569,-0.0554792 
84,84,14.0401387,-0.0002129,1.000064867,358.121543,-4.2336666,0.002551153,0.970126009,0.242601579,0.999462612,-0.032779386,0.961652344,0.4999442,-0.0529164 
94,94,15.0256433,-0.0002283,1.000352853,11.7155375,-4.7517789,0.002522264,0.965809892,0.259251329,0.979167783,0.203052834,0.998331648,0.4972762,-0.0465508 
101,101,16.0105879,-0.0002355,1.000639222,25.6193287,-5.0026367,0.002497948,0.961210743,0.275814986,0.901686711,0.432389957,0.985970584,0.4943695,-0.0372593 
104,104,16.9949539,-0.000234,1.000923878,39.7599647,-4.9542574,0.002479559,0.956330502,0.292287481,0.768730611,0.639572707,0.922099626,0.4913645,-0.0262401 
101,103,17.9787228,-0.0002237,1.001206806,54.0478299,-4.5978461,0.002467719,0.951171206,0.308663791,0.587109689,0.809507389,0.808307451,0.4884123,-0.0147909 
94,98,18.9618776,-0.0002051,1.00148808,68.3917156,-3.9509663,0.002462334,0.945734987,0.324938971,0.368258985,0.929723249,0.650378722,0.4856578,-0.0040504 
82,89,19.9444041,-0.0001795,1.00176785,82.7129154,-3.0558767,0.002462752,0.940024051,0.341108169,0.126841016,0.99192306,0.457586665,0.4832227,0.0052125 
68,75,20.9262923,-0.0001483,1.002046327,96.9541261,-1.9739245,0.00246801,0.934040673,0.357166656,-0.121074622,0.992643408,0.241450506,0.4811936,0.0126976 
55,61,21.9075369,-0.0001136,1.002323762,111.0812289,-0.7781144,0.002477102,0.927787182,0.37310983,-0.359691137,0.933071426,0.014421295,0.4796161,0.0185378 
48,50,22.888138,-0.0000775,1.002600418,125.0787836,0.4541098,0.002489189,0.921265947,0.388933228,-0.574702255,0.818362583,-0.211165216,0.478495,0.0231544 
50,49,23.8681005,-0.0000423,1.002876552,138.9418784,1.6468358,0.002503714,0.914479377,0.404632512,-0.754043677,0.656824279,-0.423784934,0.4777981,0.0270603 
57,57,24.8474341,-0.0000099,1.003152391,152.6674102,2.7303764,0.002520393,0.907429911,0.420203471,-0.888356209,0.459154925,-0.613182503,0.477462,0.0306682 
70,70,25.8261522,0.0000179,1.003428119,166.2473669,3.6451118,0.002539119,0.90012002,0.435641997,-0.971331146,0.237730531,-0.770749207,0.477399,0.0341519 
82,82,26.8042713,0.0000395,1.003703865,179.6657383,4.344736,0.002559798,0.892552204,0.45094408,-0.999982982,0.005833934,-0.889906237,0.4775046,0.0373863 
90,90,27.7818098,0.0000538,1.003979694,192.8995718,4.79871,0.002582182,0.884728999,0.466105781,-0.974762863,-0.223242831,-0.966455745,0.4776657,0.0399724 
95,95,28.7587873,0.0000604,1.004255604,205.9235617,4.9934035,0.002605735,0.876652977,0.481123224,-0.899378077,-0.437171676,-0.998775916,0.4777691,0.0413316 
96,96,29.7352236,0.0000589,1.004531532,218.7166449,4.9314772,0.002629567,0.868326758,0.495992581,-0.780248736,-0.625469351,-0.987739014,0.4777091,0.0408397 
93,94,30.7111376,0.0000497,1.004807355,231.2686849,4.6295037,0.002652448,0.859753012,0.510710053,-0.625669108,-0.780088563,-0.936319972,0.4773934,0.0379637 
87,90,31.6865471,0.0000334,1.005082903,243.5855949,4.1143761,0.002672893,0.850934465,0.525271868,-0.444860362,-0.895599943,-0.84898047,0.476746,0.0323735 
78,83,32.6614681,0.0000108,1.005357967,255.6920237,3.4193875,0.002689305,0.841873908,0.539674275,-0.24713391,-0.968981337,-0.730989891,0.4757078,0.0240105 
67,73,33.6359149,-0.0000169,1.005632308,267.6315671,2.5808513,0.002700136,0.832574193,0.553913543,-0.041325181,-0.99914575,-0.587846642,0.4742336,0.0131127 
56,62,34.6099,-0.0000484,1.005905662,279.4650301,1.6358435,0.002704062,0.82303824,0.567985964,0.164445606,-0.986386153,-0.424908468,0.4722895,0.0002057 
44,50,35.5834338,-0.0000824,1.006177752,291.2673939,0.6212741,0.002700136,0.813269039,0.58188785,0.362720961,-0.931897797,-0.247270278,0.4698485,-0.0139303 
35,39,36.5565252,-0.0001172,1.006448283,303.1239393,-0.4258118,0.002687925,0.803269647,0.595615543,0.546451929,-0.837490471,-0.059874094,0.4668876,-0.0283076 
31,32,37.5291812,-0.0001513,1.006716948,315.1256053,-1.4670142,0.002667613,0.79304319,0.609165411,0.708655219,-0.705554945,0.132194527,0.4633856,-0.04179 
35,33,38.5014065,-0.0001832,1.00698343,327.3633168,-2.460903,0.002640064,0.782592875,0.622533848,0.84210728,-0.539310048,0.323288398,0.4593238,-0.0531678 
42,42,39.4732038,-0.0002112,1.007247401,339.9208218,-3.3615257,0.002606838,0.771921981,0.635717276,0.939219079,-0.343318397,0.506750417,0.4546886,-0.0612576 
55,55,40.4445729,-0.0002337,1.007508529,352.8657257,-4.1179666,0.002570143,0.761033876,0.648712139,0.992257822,-0.124195067,0.674574969,0.4494783,-0.0650356 
69,69,41.4155106,-0.0002495,1.007766485,6.2390684,-4.6760243,0.002532689,0.749932018,0.661514904,0.994077091,0.108677214,0.817381836,0.4437115,-0.0638042 
83,83,42.3860099,-0.0002573,1.00802096,20.0450457,-4.9829927,0.002497453,0.738619965,0.674122056,0.939423436,0.34275882,0.924938186,0.4374383,-0.0573713 
94,94,43.3560603,-0.0002565,1.008271688,34.2440065,-4.9957745,0.00246734,0.727101379,0.686530104,0.826648618,0.562718458,0.987380512,0.430749,-0.0461928 
101,101,44.325648,-0.0002467,1.008518462,48.7526612,-4.6909609,0.002444795,0.715380022,0.69873559,0.659310894,0.751870431,0.997016471,0.4237761,-0.0314053 
105,105,45.2947572,-0.0002285,1.008761167,63.4541472,-4.0736427,0.002431437,0.703459741,0.710735107,0.44691387,0.894576991,0.950193189,0.4166859,-0.0146872 
103,104,46.2633715,-0.0002028,1.008999787,78.2168439,-3.1810172,0.002427832,0.691344454,0.722525325,0.204208274,0.978927465,0.848478143,0.4096591,0.0020519 
95,100,47.2314764,-0.0001713,1.009234408,92.9164532,-2.0785299,0.002433472,0.679038115,0.734103016,-0.050879733,0.998704788,0.698602919,0.402865,0.0170688 
84,90,48.1990604,-0.0001359,1.009465206,107.4540583,-0.8497177,0.002446976,0.666544695,0.745465069,-0.29994098,0.95395776,0.511218118,0.3964381,0.0291274 
70,77,49.1661169,-0.000099,1.00969242,121.7650988,0.4163213,0.002466439,0.653868155,0.756608509,-0.526437993,0.850213526,0.299057748,0.3904645,0.0376685 
58,64,50.1326447,-0.0000629,1.009916325,135.8186295,1.635701,0.002489827,0.641012429,0.767530498,-0.71713725,0.696931965,0.075222647,0.3849796,0.0427771 
52,54,51.0986477,-0.0000295,1.010137201,149.6097924,2.7365922,0.002515298,0.627981426,0.778228327,-0.862600143,0.505886345,-0.148001783,0.379975,0.0450007 
53,52,52.0641344,-9.00E-07,1.010355317,163.1495805,3.6622393,0.002541404,0.614779025,0.788699404,-0.957064783,0.289874113,-0.359759814,0.3754087,0.0451074 
57,57,53.0291178,0.0000217,1.010570907,176.4552573,4.3714794,0.002567147,0.601409078,0.79894125,-0.998086821,0.061827972,-0.550861557,0.3712157,0.0438594 
66,66,53.9936138,0.0000371,1.010784164,189.5434128,4.8381449,0.002591925,0.587875422,0.808951475,-0.986160262,-0.165794863,-0.71385938,0.3673165,0.0418466 
74,74,54.9576407,0.0000447,1.010995232,202.426406,5.0501636,0.002615404,0.574181886,0.81872777,-0.924370311,-0.381496433,-0.843098413,0.3636232,0.0393963 
80,80,55.9212187,0.0000444,1.011204206,215.1120623,5.008552,0.00263736,0.560332295,0.828267903,-0.818028645,-0.575177482,-0.934768915,0.3600445,0.0365563 
84,84,56.884369,0.0000363,1.011411123,227.6059208,4.7261378,0.002657522,0.546330481,0.837569702,-0.674226074,-0.738525017,-0.986916434,0.3564897,0.0331387 
86,86,57.8471132,0.000021,1.011615974,239.9150001,4.2258069,0.002675463,0.532180288,0.846631054,-0.501284222,-0.865282687,-0.999348775,0.3528721,0.0288054 
84,84,58.8094725,-7.00E-07,1.011818697,252.0519745,3.5382509,0.002690544,0.517885588,0.855449892,-0.308154139,-0.951336442,-0.973409244,0.3491117,0.0231749 
80,82,59.7714678,-0.0000276,1.01201919,264.0388268,2.6994443,0.00270192,0.503450277,0.864024201,-0.103854496,-0.994592501,-0.911637566,0.345137,0.015929 
74,77,60.7331188,-0.0000585,1.01221731,275.9093785,1.7482446,0.002708599,0.488878286,0.872352005,0.102955354,-0.994685978,-0.817383671,0.3408858,0.0069037 
68,71,61.6944443,-0.0000919,1.012412883,287.7104693,0.7245236,0.00270956,0.474173583,0.880431379,0.30420713,-0.952605911,-0.694457152,0.3363046,-0.0038452 
59,63,62.6554614,-0.0001264,1.012605702,299.5018149,-0.3318826,0.002703885,0.459340178,0.888260435,0.492451129,-0.870340098,-0.546886084,0.3313467,-0.0160038 
51,55,63.6161859,-0.0001603,1.012795539,311.3546548,-1.3813149,0.002690915,0.444382125,0.895837333,0.660718003,-0.750634212,-0.37883488,0.32597,-0.0289888 
43,47,64.5766322,-0.0001921,1.012982141,323.349203,-2.3836366,0.002670405,0.429303519,0.903160279,0.802288562,-0.596936398,-0.194703941,0.320135,-0.0419583 
38,40,65.5368126,-0.0002202,1.013165231,335.5707052,-3.2970951,0.002642661,0.414108506,0.910227524,0.910472325,-0.41357,0.000591537,0.3138032,-0.053848 
40,38,66.4967376,-0.0002432,1.013344511,348.1036921,-4.0772227,0.002608654,0.398801285,0.917037368,0.978522271,-0.206141131,0.201196819,0.3069381,-0.0634362 
45,43,67.4564152,-0.0002597,1.013519665,1.0239478,-4.6765521,0.002570081,0.383386115,0.923588159,0.999840313,0.017870309,0.399829699,0.2995085,-0.0694508 
53,53,68.4158503,-0.0002685,1.01369036,14.3880326,-5.0461692,0.002529352,0.367867325,0.929878288,0.968635084,0.248487573,0.587392397,0.2914955,-0.0707314 
65,65,69.3750442,-0.0002688,1.013856259,28.2211375,-5.1401806,0.002489461,0.352249326,0.935906198,0.881129059,0.472875862,0.752944568,0.2829045,-0.0664489 
78,78,70.3339939,-0.0002602,1.014017039,42.505673,-4.9236443,0.002453725,0.336536619,0.94167038,0.737210441,0.675663204,0.884350336,0.2737787,-0.0563597 
90,90,71.2926918,-0.0002427,1.014172415,57.1747142,-4.3830139,0.002425379,0.320733807,0.947169375,0.542079117,0.840327455,0.969795529,0.2642112,-0.0410229 
98,98,72.2511265,-0.0002172,1.014322171,72.1148368,-3.5359108,0.00240708,0.304845574,0.952401793,0.307110191,0.951673962,0.999997171,0.254348,-0.0218711 
102,102,73.2092837,-0.0001851,1.01446619,87.1804811,-2.4354569,0.002400441,0.288876678,0.957366317,0.049190029,0.998789438,0.970417218,0.2443772,-0.0010377 
102,103,74.1671486,-0.0001485,1.014604469,102.217055,-1.1655105,0.002405739,0.272831904,0.962061719,-0.21161573,0.977352947,0.882538334,0.2345024,0.0190643 
